code,BUF,MIA,NE,NY,BAL,CIN,CLE,PIT,HOU,IND,JAX,TEN,DEN,KC,LV,LA,DAL,PHI,WAS,CHI,DET,GB,MIN,ATL,CAR,NO,TB,ARI,SEA,SF,LON,TOT,MEX,FRA
BUF,0.0,1654.4554301637786,762.4566395135872,448.0380953798281,429.7069996286516,632.0668210594113,1265.4244979668727,278.20542613659427,2078.559502915457,702.4681495778042,1408.7564420057543,1005.1354019351779,2211.648534397845,1381.594132519011,3190.236579463351,3553.55362979704,1952.1593532489014,440.27817013759875,459.6734316317871,733.5620785242007,10389.43986274854,770.7810741757463,1185.0702948651847,1116.8104247781866,859.0132806246744,1746.694084370098,1681.0589883999394,3082.511127457642,3412.4810385828387,3685.0379073311824,5730.123077284509,5741.705495163684,3237.108399535136,6366.403185615719
MIA,1654.4554301637786,0.0,2268.7529293381253,1537.3744819067658,1303.2184997788308,1301.266183140901,397.68876103204803,1390.7143892109996,1490.7911298377387,1422.378732408657,296.2889063301764,1101.6447946763,2626.5410368017997,1804.8183253537884,3399.966909372617,3676.482859462313,1701.395073419961,1408.7954055420541,1258.2820259498951,1686.3111253260502,12025.704045783103,1968.3937215584647,2217.609297771788,757.8214439436911,810.9885911451738,983.8439609938381,222.3216221820696,3113.449476673715,4228.203071446135,4014.0351659685566,6948.56033357443,6962.1843208870905,2152.241409329123,7597.68541559924
NE,762.4566395135872,2268.7529293381253,0.0,734.6427255677636,972.2103769042735,1393.9838286275676,1912.256441434067,1019.2260412038681,2840.4472311334152,1451.3424993582346,2068.0188365611302,1767.1022655023346,2824.237466091944,2078.8810034021985,3799.3270434378337,4170.709978955504,2700.682994868465,860.0015725457644,1018.0190837651728,1419.6639807695014,9764.45647100131,1332.0149819197006,1710.0379097096838,1850.114302718507,1543.3322324838234,2501.8208627301783,2342.081932452375,3740.8251270359506,3781.087120014518,4236.14118049815,4968.678537005422,4980.1713034798095,3996.298491414736,5604.186919741105
NY,448.0380953798281,1537.3744819067658,734.6427255677636,0.0,276.31691476266604,910.5791111910664,1193.3865155673911,503.4650048032917,2291.517035247764,1032.6261969672603,1351.57971993507,1219.706640834468,2616.935112416649,1749.0919550619053,3588.9428879460197,3946.236263094972,2230.267423563393,137.11247453779546,318.78302684348944,1136.8231463031123,10499.097583748224,1214.4567037437394,1627.351126375919,1203.8583588531171,859.3012475850462,1884.5748433972117,1622.7959906224896,3454.621813155781,3859.849165973544,4103.154444802643,5562.32801057797,5574.795509704967,3377.4931958318944,6206.946896702918
BAL,429.7069996286516,1303.2184997788308,972.2103769042735,276.31691476266604,0.0,680.9523998309181,940.0571498524304,317.9281467048648,2021.2895627809698,820.7763371781076,1095.962553068238,957.694973347853,2428.762696764095,1539.0950627784548,3389.739057348499,3740.6413249757434,1974.6252312966633,143.14997514373562,45.84757797142509,972.327753880999,10722.671375541333,1110.2385984795756,1508.9933044792176,927.541893130431,585.8643810768814,1608.5562569335689,1369.881829248746,3235.3314970522842,3751.011821382127,3923.0664117721635,5838.560131752204,5851.013286645554,3101.18097507965,6483.046253528096
CIN,632.0668210594113,1301.266183140901,1393.9838286275676,910.5791111910664,680.9523998309181,0.0,912.6820506706072,413.3919810009252,1446.546116734441,159.99172407482985,1011.1159398530001,381.9685878613105,1760.6347070710895,860.9865303728955,2712.6750864572864,3061.0998507395525,1333.1294840599862,807.7122566346113,661.8699424578413,404.7479937626895,10885.199851785537,669.4865130270587,974.0188485934655,594.5349033098547,539.6742232028371,1138.2790060257696,1251.824555289744,2554.500274476531,3168.8159747792283,3256.524350108305,6362.175966591718,6373.748016892369,2614.598938833798,6998.17033811379
CLE,1265.4244979668727,397.68876103204803,1912.256441434067,1193.3865155673911,940.0571498524304,912.6820506706072,0.0,997.2729857859878,1422.822885394003,1042.5572463983717,159.0497778118679,764.157591936508,2373.8710016655164,1505.1678429467656,3213.4017088492046,3515.556659101069,1549.0897003928894,1059.0702707966836,894.2672080577344,1306.482174969065,11649.832877619923,1582.0480641983847,1853.2960189509745,427.6504320746767,413.97203947957723,914.1752562107283,430.0660819585712,2960.242672877285,3935.1595684402587,3813.8560746423796,6696.944859528787,6710.088423817382,2293.783877166847,7345.25124309127
PIT,278.20542613659427,1390.7143892109996,1019.2260412038681,503.4650048032917,317.9281467048648,413.3919810009252,997.2729857859878,0.0,1839.8034493954603,529.1615864973796,1136.5563255532322,758.4473428383195,2123.240966013711,1246.4960112631634,3090.758000929384,3445.896937555554,1745.167140634483,416.9880367602961,319.78863081380683,655.9326000418225,10664.475089135574,798.9066291507545,1192.5112140349481,840.5196796598909,586.2309696822797,1482.617793824415,1407.224259181345,2951.349258907266,3433.9912171478295,3614.862164821953,5974.182482652102,5986.050693092972,2978.004962382693,6613.467055248309
HOU,2078.559502915457,1490.7911298377387,2840.4472311334152,2291.517035247764,2021.2895627809698,1446.546116734441,1422.822885394003,1839.8034493954603,0.0,1402.8088914886287,1329.033482193374,1081.529076990431,1421.724635952351,1046.1321407794433,1976.8521942244108,2215.487435369967,376.7695696222976,2164.2045058415765,1984.7048074164295,1525.826623366136,12018.141561622995,1771.93044792162,1712.5845362801017,1135.7558045311166,1498.1738148731213,515.1142073419645,1272.4356545104006,1652.3953964152267,3047.172378380512,2599.398070744815,7808.668854495381,7820.262203322895,1216.1635199585226,8444.579575012653
IND,702.4681495778042,1422.378732408657,1451.3424993582346,1032.6261969672603,820.7763371781076,159.99172407482985,1042.5572463983717,529.1615864973796,1402.8088914886287,0.0,1128.03573109207,403.36811178119996,1610.3244281033385,719.4262803951694,2568.994708355306,2920.9228109485834,1250.9374476390785,939.9126330140626,805.9505046774606,264.18629804506133,10833.509008203202,550.4140305219698,822.3550695075597,686.5460832374653,689.0678170410897,1148.6429185034356,1354.434955743317,2422.436865956316,3008.9094687737215,3105.9617483978323,6416.482640379175,6427.741287508121,2594.839471773031,7048.690506265422
