WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,HOU,BAL,3,1,0,1,2,1,0,0,3,0,0,0,0,0,1
2,CIN,CIN,3,2,0,0,3,0,0,3,1,0,0,3,0,0,1
3,IND,BAL,2,1,1,0,2,0,0,1,4,0,0,1,0,0,1
4,CLE,CLE,,,,,,,,,,,,,,,
5,PIT,PIT,,,,,,,,,,,,,,,
6,TEN,TOT,,,,,,,,,,,,,,,
7,DET,BAL,,,,,,,,,,,,,,,
8,ARI,ARI,,,,,,,,,,,,,,,
9,SEA,BAL,,,,,,,,,,,,,,,
10,CLE,BAL,,,,,,,,,,,,,,,
11,CIN,BAL,,,,,,,,,,,,,,,
12,LAC,LA,,,,,,,,,,,,,,,
14,LAR,BAL,,,,,,,,,,,,,,,
15,JAX,JAX,,,,,,,,,,,,,,,
16,SF,SF,,,,,,,,,,,,,,,
17,MIA,BAL,,,,,,,,,,,,,,,
18,PIT,BAL,,,,,,,,,,,,,,,
