WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,ATL,ATL,1,1,0,0,1,0,0,3,1,0,0,3,0,0,1
2,NO,CAR,1,2,0,1,0,1,0,2,2,0,0,2,0,0,1
3,SEA,SEA,3,2,0,0,3,0,0,3,4,0,1,2,1,0,1
4,MIN,CAR,,,,,,,,,,,,,,,
5,DET,DET,,,,,,,,,,,,,,,
6,MIA,MIA,,,,,,,,,,,,,,,
8,HOU,CAR,,,,,,,,,,,,,,,
9,IND,CAR,,,,,,,,,,,,,,,
10,CHI,CHI,,,,,,,,,,,,,,,
11,DAL,CAR,,,,,,,,,,,,,,,
12,TEN,TEN,,,,,,,,,,,,,,,
13,TB,TB,,,,,,,,,,,,,,,
14,NO,NO,,,,,,,,,,,,,,,
15,ATL,CAR,,,,,,,,,,,,,,,
16,GB,CAR,,,,,,,,,,,,,,,
17,JAX,JAX,,,,,,,,,,,,,,,
18,TB,CAR,,,,,,,,,,,,,,,
