WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,GB,CHI,2,2,0,2,0,1,0,5,1,0,0,5,0,0,1
2,TB,TB,2,1,0,0,2,0,0,3,2,0,0,3,0,0,1
3,KC,KC,1,1,0,0,1,0,0,5,2,0,0,5,0,0,1
4,DEN,CHI,4,0,0,0,4,0,0,4,1,0,0,4,0,0,1
5,WAS,WAS,4,4,0,0,4,0,0,2,2,0,2,0,1,0,1
6,MIN,CHI,1,2,0,0,1,0,0,2,2,0,0,1,0,0,1
7,LV,CHI,4,1,0,0,3,0,0,1,2,0,1,0,0,0,1
8,LAC,LA,2,0,0,1,1,0,0,3,3,0,0,3,0,0,1
9,NO,NO,2,1,0,0,2,0,0,3,1,0,0,3,0,0,1
10,CAR,CHI,1,3,0,0,1,0,0,1,2,0,0,1,0,0,1
11,DET,DET,2,4,0,0,2,0,0,4,0,1,1,3,1,0,1
12,MIN,MIN,0,4,0,0,0,0,0,1,1,0,0,1,0,0,1
14,DET,CHI,3,3,0,1,1,0,0,2,0,0,0,1,0,0,1
15,CLE,CLE,2,1,0,0,2,0,0,2,2,0,0,2,0,0,1
16,ARI,CHI,3,2,0,0,3,0,0,2,1,0,1,1,0,0,1
17,ATL,CHI,4,3,0,0,4,0,0,2,1,0,0,2,0,0,1
18,GB,GB,0,3,0,0,0,0,0,2,1,0,0,2,0,0,1
