WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,CLE,CLE,0,1,0,0,0,0,0,2,3,0,1,1,1,0,1
2,BAL,CIN,3,1,0,0,3,0,0,3,2,0,0,3,0,0,1
3,LAR,CIN,1,4,0,0,1,0,0,1,3,0,0,1,0,0,1
4,TEN,TEN,0,1,0,0,0,0,0,3,2,0,0,3,0,0,1
5,ARI,ARI,4,2,0,0,4,0,0,3,0,0,0,2,0,0,1
6,SEA,CIN,2,1,0,0,2,0,0,1,2,0,0,1,0,0,1
8,SF,SF,4,1,0,0,4,0,0,2,1,0,0,2,0,0,1
9,BUF,CIN,3,1,0,0,3,0,0,2,1,0,1,1,1,0,1
10,HOU,CIN,3,2,0,0,3,0,0,3,3,0,0,3,0,0,1
11,BAL,BAL,2,2,0,0,2,0,0,4,2,0,0,4,0,0,1
12,PIT,CIN,1,1,0,0,1,0,0,1,3,0,0,1,0,0,1
13,JAX,JAX,,,,,,,,,,,,,,,
14,IND,CIN,,,,,,,,,,,,,,,
15,MIN,CIN,,,,,,,,,,,,,,,
16,PIT,PIT,,,,,,,,,,,,,,,
17,KC,KC,,,,,,,,,,,,,,,
18,CLE,CIN,,,,,,,,,,,,,,,
