WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,CIN,CLE,2,3,0,1,1,1,0,0,1,0,0,0,0,0,1
2,PIT,PIT,2,2,0,2,0,2,0,3,2,0,1,2,0,0,1
3,TEN,CLE,3,2,0,0,3,0,0,0,1,0,0,0,0,0,1
4,BAL,CLE,0,1,0,0,0,0,0,4,0,0,0,4,0,0,1
6,SF,CLE,1,4,0,0,1,0,0,2,1,0,0,2,0,0,1
7,IND,IND,4,4,0,1,3,0,0,5,1,0,0,5,0,0,1
8,SEA,SEA,2,2,0,0,2,0,0,3,1,0,0,3,0,0,1
9,ARI,CLE,3,2,0,0,3,0,0,0,0,0,0,0,0,0,1
10,BAL,BAL,3,4,0,1,1,1,0,4,1,0,0,4,0,0,1
11,PIT,CLE,1,2,0,0,1,0,0,1,1,0,0,1,0,0,1
12,DEN,DEN,1,2,0,1,0,0,0,3,2,1,0,3,0,0,1
13,LAR,LA,2,2,0,0,1,0,0,4,2,1,0,4,0,0,1
14,JAX,CLE,4,1,0,0,4,0,0,4,0,0,1,3,0,0,1
15,CHI,CLE,2,2,0,0,2,0,0,2,1,0,0,2,0,0,1
16,HOU,HOU,5,0,0,3,2,2,0,3,0,0,1,2,1,0,1
17,NYJ,CLE,5,1,0,0,4,0,0,2,2,0,0,2,0,0,1
18,CIN,CIN,2,0,0,0,2,0,0,4,1,0,0,4,0,0,1
