WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,NYG,NY,5,2,0,0,4,0,0,0,0,0,0,0,0,0,1
2,NYJ,DAL,2,5,0,1,1,1,0,1,1,0,0,1,0,0,1
3,ARI,ARI,1,3,0,0,1,0,0,3,3,0,1,1,0,0,1
4,NE,DAL,4,3,0,1,3,1,0,0,1,0,0,0,0,0,1
5,SF,SF,,,,,,,,,,,,,,,
6,LAC,LA,,,,,,,,,,,,,,,
8,LAR,DAL,,,,,,,,,,,,,,,
9,PHI,PHI,,,,,,,,,,,,,,,
10,NYG,DAL,,,,,,,,,,,,,,,
11,CAR,CAR,,,,,,,,,,,,,,,
12,WAS,DAL,,,,,,,,,,,,,,,
13,SEA,DAL,,,,,,,,,,,,,,,
14,PHI,DAL,,,,,,,,,,,,,,,
15,BUF,BUF,,,,,,,,,,,,,,,
16,MIA,MIA,,,,,,,,,,,,,,,
17,DET,DAL,,,,,,,,,,,,,,,
18,WAS,WAS,,,,,,,,,,,,,,,
