WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,LV,DEN,2,1,0,0,1,0,0,2,1,0,0,2,0,0,1
2,WAS,DEN,4,2,0,1,3,0,0,4,2,0,1,3,1,0,1
3,MIA,MIA,2,2,0,0,2,0,0,10,0,0,0,10,0,0,1
4,CHI,CHI,4,1,0,0,4,0,0,4,0,0,0,4,0,0,1
5,NYJ,DEN,2,2,0,1,1,1,0,2,5,1,0,2,0,0,1
6,KC,KC,1,0,0,1,0,1,0,1,4,0,0,1,0,0,1
7,GB,DEN,1,4,0,0,1,0,0,2,1,0,0,2,0,0,1
8,KC,DEN,3,1,0,0,3,0,0,0,3,0,0,0,0,0,1
10,BUF,BUF,2,4,0,1,0,0,0,3,0,0,1,2,1,0,1
11,MIN,DEN,1,5,0,1,0,0,0,2,2,0,0,2,0,0,1
12,CLE,DEN,3,2,1,0,3,0,0,1,2,0,1,0,0,0,1
13,HOU,HOU,2,1,0,0,2,0,0,2,3,0,1,1,0,0,1
14,LAC,LA,3,1,0,0,3,0,0,1,0,0,0,1,0,0,1
15,DET,DET,2,1,0,0,2,0,0,6,0,0,0,6,0,0,1
16,NE,DEN,3,0,0,2,1,2,0,3,2,0,0,2,0,0,1
17,LAC,DEN,1,3,0,0,1,0,0,0,3,0,0,0,0,0,1
18,LV,LV,,,,,,,,,,,,,,,
