WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,KC,KC,3,0,0,0,3,0,0,2,2,0,0,2,0,0,1
2,SEA,DET,4,1,0,0,4,0,0,4,1,0,0,4,0,0,1
3,ATL,DET,2,2,0,0,2,0,0,0,2,0,0,0,0,0,1
4,GB,GB,3,2,0,0,3,0,0,2,2,0,2,0,1,0,1
5,CAR,DET,,,,,,,,,,,,,,,
6,TB,TB,,,,,,,,,,,,,,,
7,BAL,BAL,,,,,,,,,,,,,,,
8,LV,DET,,,,,,,,,,,,,,,
10,LAC,LA,,,,,,,,,,,,,,,
11,CHI,DET,,,,,,,,,,,,,,,
12,GB,DET,,,,,,,,,,,,,,,
13,NO,NO,,,,,,,,,,,,,,,
14,CHI,CHI,,,,,,,,,,,,,,,
15,DEN,DET,,,,,,,,,,,,,,,
16,MIN,MIN,,,,,,,,,,,,,,,
17,DAL,DAL,,,,,,,,,,,,,,,
18,MIN,DET,,,,,,,,,,,,,,,
