WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,CHI,CHI,5,1,0,0,5,0,0,2,2,0,2,0,1,0,1
2,ATL,ATL,3,1,0,0,3,0,0,2,4,0,0,1,0,0,1
3,NO,GB,2,1,0,1,1,1,0,2,1,0,0,2,0,0,1
4,DET,GB,2,2,0,2,0,1,0,3,2,0,0,3,0,0,1
5,LV,LV,1,2,0,0,1,0,0,2,1,0,0,2,0,0,1
7,DEN,DEN,2,1,0,0,2,0,0,1,4,0,0,1,0,0,1
8,MIN,GB,1,1,0,0,1,0,0,3,1,0,0,3,0,0,1
9,LAR,GB,2,2,0,0,2,0,0,0,1,0,0,0,0,0,1
10,PIT,PIT,2,2,0,0,1,0,0,2,3,0,0,2,0,0,1
11,LAC,GB,3,1,0,0,2,0,0,2,2,0,0,2,0,0,1
12,DET,DET,4,1,0,1,2,0,0,3,0,0,2,0,2,0,1
13,KC,GB,3,2,0,0,3,0,0,2,2,0,1,1,0,0,1
14,NYG,NY,2,3,0,1,1,0,0,3,1,0,0,3,0,0,1
15,TB,GB,2,2,0,0,2,0,0,4,1,0,0,4,0,0,1
16,CAR,CAR,4,2,0,0,3,0,0,4,1,0,0,3,0,0,1
17,MIN,MIN,,,,,,,,,,,,,,,
18,CHI,GB,,,,,,,,,,,,,,,
