WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,BAL,BAL,0,3,0,0,0,0,0,3,1,0,1,2,1,0,1
2,IND,HOU,2,2,0,0,2,0,0,4,1,0,0,4,0,0,1
3,JAX,JAX,2,1,0,0,2,0,0,4,3,0,0,4,0,0,1
4,PIT,HOU,3,3,0,0,3,0,0,0,2,0,0,0,0,0,1
5,ATL,ATL,1,4,0,0,1,0,0,2,2,0,1,1,1,0,1
6,NO,HOU,2,2,0,0,2,0,0,2,1,0,0,2,0,0,1
8,CAR,CAR,2,0,0,1,1,0,0,1,3,0,0,0,0,0,1
9,TB,HOU,5,2,0,4,1,1,0,4,3,0,0,4,0,0,1
10,CIN,CIN,3,3,0,0,3,0,0,3,2,0,0,3,0,0,1
11,ARI,HOU,3,0,0,0,3,0,0,2,1,0,1,1,0,0,1
12,JAX,HOU,3,0,0,0,3,0,0,2,3,0,1,1,1,0,1
13,DEN,HOU,2,3,0,1,1,0,0,2,1,0,0,2,0,0,1
14,NYJ,NY,1,0,0,0,0,0,0,3,3,0,0,3,0,0,1
15,TEN,TEN,1,3,0,0,1,0,0,2,1,0,0,1,0,0,1
16,CLE,HOU,3,0,0,1,2,1,0,5,0,0,3,2,2,0,1
17,TEN,HOU,,,,,,,,,,,,,,,
18,IND,IND,,,,,,,,,,,,,,,
