WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,JAX,IND,3,0,0,0,3,0,0,4,1,0,0,4,0,0,1
2,HOU,HOU,4,1,0,0,4,0,0,2,2,0,0,2,0,0,1
3,BAL,BAL,1,4,0,0,1,0,0,2,1,1,0,2,0,0,1
4,LAR,IND,3,0,0,2,1,2,0,2,3,0,0,2,0,0,1
5,TEN,IND,2,3,0,0,2,0,0,1,3,0,0,1,0,0,1
6,JAX,JAX,2,2,0,0,2,0,0,4,3,0,0,4,0,0,1
7,CLE,IND,5,1,0,0,5,0,0,4,4,0,1,3,0,0,1
8,NO,IND,3,2,0,0,3,0,0,5,1,0,0,5,0,0,1
9,CAR,CAR,3,2,0,0,3,0,0,1,2,0,0,1,0,0,1
10,NE,FRA,1,1,0,0,1,0,0,0,2,0,0,0,0,0,1
12,TB,IND,3,2,0,0,3,0,0,2,2,0,0,2,0,0,1
13,TEN,TEN,2,4,0,1,1,0,0,3,1,0,0,2,0,1,1
14,CIN,CIN,2,0,0,1,0,1,0,4,2,0,0,4,0,0,1
15,PIT,IND,3,3,0,0,3,0,0,2,0,0,0,1,0,0,1
16,ATL,ATL,1,1,0,0,1,0,0,2,5,0,0,2,0,0,1
17,LV,IND,2,3,0,0,2,0,0,2,2,0,0,2,0,0,1
18,HOU,IND,,,,,,,,,,,,,,,
