WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,IND,IND,4,1,0,0,4,0,0,3,0,0,0,3,0,0,1
2,KC,JAX,0,3,0,0,0,0,0,2,1,0,0,2,0,0,1
3,HOU,JAX,4,3,0,0,4,0,0,2,1,0,0,2,0,0,1
4,ATL,LON,2,3,0,0,2,0,0,1,0,0,0,1,0,0,1
5,BUF,TOT,3,1,0,1,2,1,0,3,0,0,1,2,0,0,1
6,IND,JAX,4,3,0,0,4,0,0,2,2,0,0,2,0,0,1
7,NO,NO,4,1,0,0,4,0,0,2,3,0,1,1,1,0,1
8,PIT,PIT,1,4,0,1,0,1,0,1,1,0,0,1,0,0,1
10,SF,JAX,0,1,0,0,0,0,0,4,2,0,0,4,0,0,1
11,TEN,JAX,4,2,0,0,4,0,0,2,0,0,0,2,0,0,1
12,HOU,HOU,2,3,0,1,1,1,0,3,0,0,0,3,0,0,1
13,CIN,JAX,4,1,0,0,4,0,0,4,1,0,0,4,0,0,1
14,CLE,CLE,4,0,0,1,3,0,0,4,1,0,0,4,0,0,1
15,BAL,JAX,1,0,0,0,1,0,0,2,3,0,0,2,0,0,1
16,TB,TB,2,0,0,2,0,0,0,3,3,0,0,3,0,0,1
17,CAR,JAX,,,,,,,,,,,,,,,
18,TEN,TEN,,,,,,,,,,,,,,,
