WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,DET,KC,2,2,0,0,2,0,0,3,0,0,0,3,0,0,1
2,JAX,JAX,2,1,0,0,2,0,0,0,3,0,0,0,0,0,1
3,CHI,KC,5,2,0,0,5,0,0,1,1,0,0,1,0,0,1
4,NYJ,NY,2,3,0,0,2,0,0,2,1,1,1,1,1,0,1
5,MIN,MIN,3,2,0,0,3,0,0,2,2,0,0,2,0,0,1
6,DEN,KC,1,4,0,0,1,0,0,1,0,0,1,0,1,0,1
7,LAC,KC,4,1,0,0,4,0,0,2,1,0,0,2,0,0,1
8,DEN,DEN,0,3,0,0,0,0,0,3,1,0,0,3,0,0,1
9,MIA,FRA,3,0,0,0,3,0,0,2,0,0,0,2,0,0,1
11,PHI,KC,2,1,0,0,2,0,0,3,0,0,0,3,0,0,1
12,LV,LV,4,1,0,0,4,0,0,2,1,0,0,2,0,0,1
13,GB,GB,2,2,0,1,1,0,0,3,2,0,0,3,0,0,1
14,BUF,KC,2,1,0,0,2,0,0,2,2,0,0,2,0,0,1
15,NE,NE,3,2,0,0,3,0,0,2,1,0,0,2,0,0,1
16,LV,KC,,,,,,,,,,,,,,,
17,CIN,KC,,,,,,,,,,,,,,,
18,LAC,LA,,,,,,,,,,,,,,,
