WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,MIA,LA,4,2,0,0,4,0,0,4,3,0,0,3,0,0,1
2,TEN,TEN,2,3,0,1,1,1,0,3,2,0,0,3,0,0,1
3,MIN,MIN,4,0,0,0,4,0,0,3,1,0,0,3,0,0,1
4,LV,LA,3,1,0,0,3,0,0,2,1,0,0,2,0,0,1
6,DAL,LA,2,1,0,0,2,0,0,2,2,0,0,2,0,0,1
7,KC,KC,2,1,0,0,2,0,0,4,1,0,0,4,0,0,1
8,CHI,LA,3,3,0,0,3,0,0,2,0,0,1,1,0,0,1
9,NYJ,NY,3,2,0,0,3,0,0,0,2,0,0,0,0,0,1
10,DET,LA,5,1,0,0,5,0,0,5,2,0,0,5,0,0,1
11,GB,GB,2,2,0,0,2,0,0,3,1,0,0,2,0,0,1
12,BAL,LA,1,1,0,0,1,0,0,2,2,0,0,2,0,0,1
13,NE,NE,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
14,DEN,LA,1,0,0,0,1,0,0,3,1,0,0,3,0,0,1
15,LV,LV,3,0,0,0,3,0,0,9,0,0,0,9,0,0,1
16,BUF,LA,1,5,0,0,1,0,0,3,1,0,0,3,0,0,1
17,DEN,DEN,,,,,,,,,,,,,,,
18,KC,LA,,,,,,,,,,,,,,,
