WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,SEA,SEA,3,3,0,0,3,0,0,1,2,0,0,1,0,0,1
2,SF,LA,2,3,0,0,2,0,0,3,3,0,0,3,0,0,1
3,CIN,CIN,1,3,0,0,1,0,0,1,4,0,0,1,0,0,1
4,IND,IND,2,3,0,0,2,0,0,3,0,0,2,1,2,0,1
5,PHI,LA,2,0,0,0,2,0,0,2,3,0,0,2,0,0,1
6,ARI,LA,2,4,0,0,2,0,0,0,3,0,0,0,0,0,1
7,PIT,LA,,,,,,,,,,,,,,,
8,DAL,DAL,,,,,,,,,,,,,,,
9,GB,GB,,,,,,,,,,,,,,,
11,SEA,LA,,,,,,,,,,,,,,,
12,ARI,ARI,,,,,,,,,,,,,,,
13,CLE,LA,,,,,,,,,,,,,,,
14,BAL,BAL,,,,,,,,,,,,,,,
15,WAS,LA,,,,,,,,,,,,,,,
16,NO,LA,,,,,,,,,,,,,,,
17,NYG,NY,,,,,,,,,,,,,,,
18,SF,SF,,,,,,,,,,,,,,,
