WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,LAC,LA,4,3,0,0,3,0,0,4,2,0,0,4,0,0,1
2,NE,NE,3,1,0,0,3,0,0,2,1,0,0,2,0,0,1
3,DEN,MIA,10,0,0,0,10,0,0,2,2,0,0,2,0,0,2
4,BUF,BUF,,,,,,,,,,,,,,,
5,NYG,MIA,,,,,,,,,,,,,,,
6,CAR,MIA,,,,,,,,,,,,,,,
7,PHI,PHI,,,,,,,,,,,,,,,
8,NE,MIA,,,,,,,,,,,,,,,
9,KC,FRA,,,,,,,,,,,,,,,
11,LV,MIA,,,,,,,,,,,,,,,
12,NYJ,NY,,,,,,,,,,,,,,,
13,WAS,WAS,,,,,,,,,,,,,,,
14,TEN,MIA,,,,,,,,,,,,,,,
15,NYJ,MIA,,,,,,,,,,,,,,,
16,DAL,MIA,,,,,,,,,,,,,,,
17,BAL,BAL,,,,,,,,,,,,,,,
18,BUF,MIA,,,,,,,,,,,,,,,
