WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,TB,MIN,2,1,0,0,2,0,0,2,2,0,0,2,0,0,1
2,PHI,PHI,4,0,0,0,4,0,0,4,2,0,0,4,0,0,1
3,LAC,MIN,3,1,0,0,3,0,0,4,0,0,0,4,0,0,1
4,CAR,CAR,3,0,0,0,3,0,0,1,2,0,0,1,0,0,1
5,KC,MIN,2,2,0,0,2,0,0,3,2,0,0,3,0,0,1
6,CHI,CHI,2,2,0,0,1,0,0,1,2,0,0,1,0,0,1
7,SF,MIN,,,,,,,,,,,,,,,
8,GB,GB,,,,,,,,,,,,,,,
9,ATL,ATL,,,,,,,,,,,,,,,
10,NO,MIN,,,,,,,,,,,,,,,
11,DEN,DEN,,,,,,,,,,,,,,,
12,CHI,MIN,,,,,,,,,,,,,,,
14,LV,LV,,,,,,,,,,,,,,,
15,CIN,CIN,,,,,,,,,,,,,,,
16,DET,MIN,,,,,,,,,,,,,,,
17,GB,MIN,,,,,,,,,,,,,,,
18,DET,DET,,,,,,,,,,,,,,,
