WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,TEN,NO,1,3,0,0,1,0,0,0,5,0,0,0,0,0,1
2,CAR,CAR,2,2,0,0,2,0,0,1,2,0,1,0,1,0,1
3,GB,GB,2,1,0,0,2,0,0,2,1,0,1,1,1,0,1
4,TB,NO,0,3,0,0,0,0,0,3,2,0,1,2,0,0,1
5,NE,NE,4,3,0,0,4,0,0,0,0,0,0,0,0,0,1
6,HOU,HOU,2,1,0,0,2,0,0,2,2,0,0,2,0,0,1
7,JAX,NO,2,3,0,1,1,1,0,4,1,0,0,4,0,0,1
8,IND,IND,5,1,0,0,5,0,0,3,2,0,0,3,0,0,1
9,CHI,NO,3,1,0,0,3,0,0,2,1,0,0,2,0,0,1
10,MIN,MIN,2,1,0,2,0,2,0,3,2,0,0,3,0,0,1
12,ATL,ATL,,,,,,,,,,,,,,,
13,DET,NO,,,,,,,,,,,,,,,
14,CAR,NO,,,,,,,,,,,,,,,
15,NYG,NO,,,,,,,,,,,,,,,
16,LAR,LA,,,,,,,,,,,,,,,
17,TB,TB,,,,,,,,,,,,,,,
18,ATL,NO,,,,,,,,,,,,,,,
