WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,DAL,NY,0,0,0,0,0,0,0,5,2,0,0,4,0,0,1
2,ARI,ARI,4,1,0,0,4,0,0,3,2,0,1,2,1,0,1
3,SF,SF,1,2,0,1,0,0,0,3,3,0,0,3,0,0,1
4,SEA,NY,0,1,0,0,0,0,0,3,1,0,0,3,0,0,1
5,MIA,MIA,1,3,0,0,1,0,0,4,1,0,0,4,0,0,1
6,BUF,BUF,0,3,0,0,0,0,0,2,0,0,0,2,0,0,1
7,WAS,NY,2,0,0,0,2,0,0,1,0,0,0,1,0,0,1
8,NYJ,NY,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1
9,LV,LV,1,0,0,1,0,0,0,3,3,0,0,3,0,0,1
10,DAL,DAL,2,1,0,0,2,0,0,7,0,0,0,7,0,0,1
11,WAS,WAS,4,1,0,0,4,0,0,2,2,0,0,1,0,0,1
12,NE,NY,,,,,,,,,,,,,,,
14,GB,NY,,,,,,,,,,,,,,,
15,NO,NO,,,,,,,,,,,,,,,
16,PHI,PHI,,,,,,,,,,,,,,,
17,LAR,NY,,,,,,,,,,,,,,,
18,PHI,NY,,,,,,,,,,,,,,,
