WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,NE,NE,2,4,0,0,1,0,0,3,0,0,1,2,0,0,1
2,MIN,PHI,4,2,0,0,4,0,0,4,0,0,0,4,0,0,1
3,TB,TB,2,3,1,0,2,0,0,1,1,0,1,0,1,0,1
4,WAS,PHI,3,3,0,1,2,1,0,4,1,0,0,4,0,0,1
5,LAR,LA,2,3,0,0,2,0,0,2,0,0,0,2,0,0,1
6,NYJ,NY,2,0,0,0,2,0,0,1,4,0,1,0,1,0,1
7,MIA,PHI,,,,,,,,,,,,,,,
8,WAS,WAS,,,,,,,,,,,,,,,
9,DAL,PHI,,,,,,,,,,,,,,,
11,KC,KC,,,,,,,,,,,,,,,
12,BUF,PHI,,,,,,,,,,,,,,,
13,SF,PHI,,,,,,,,,,,,,,,
14,DAL,DAL,,,,,,,,,,,,,,,
15,SEA,SEA,,,,,,,,,,,,,,,
16,NYG,PHI,,,,,,,,,,,,,,,
17,ARI,PHI,,,,,,,,,,,,,,,
18,NYG,NY,,,,,,,,,,,,,,,
