WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,PIT,PIT,3,3,0,0,3,0,0,1,0,0,0,1,0,0,1
2,LAR,LA,3,3,0,0,3,0,0,2,3,0,0,2,0,0,1
3,NYG,SF,3,3,0,0,3,0,0,1,2,0,1,0,0,0,1
4,ARI,SF,5,0,0,0,5,0,0,2,1,0,1,1,0,0,1
5,DAL,SF,6,0,0,0,6,0,0,1,1,0,0,1,0,0,1
6,CLE,CLE,2,1,0,0,2,0,0,1,4,0,0,1,0,0,1
7,MIN,MIN,2,1,0,0,2,0,0,2,3,0,0,1,0,0,1
8,CIN,SF,2,1,0,0,2,0,0,4,1,0,0,4,0,0,1
10,JAX,JAX,4,2,0,0,4,0,0,0,1,0,0,0,0,0,1
11,TB,SF,3,2,0,0,3,0,0,2,0,0,0,2,0,0,1
12,SEA,SEA,4,1,0,0,4,0,0,1,2,0,0,1,0,0,1
13,PHI,PHI,6,0,0,0,6,0,0,2,2,0,1,1,0,0,1
14,SEA,SF,4,0,0,0,4,0,0,2,1,0,1,1,0,0,1
15,ARI,ARI,6,1,0,0,6,0,0,3,3,0,1,2,0,0,1
16,BAL,SF,2,1,1,0,2,0,0,3,4,0,0,3,0,0,1
17,WAS,WAS,3,2,0,0,3,0,0,1,1,0,0,1,0,0,1
18,LAR,SF,3,0,0,0,2,0,0,3,0,0,1,1,1,0,1
20,GB,SF,3,1,0,0,3,0,0,2,2,0,1,1,1,0,1
21,DET,SF,4,2,0,0,4,0,0,4,1,0,0,4,0,0,1
