WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,MIN,MIN,2,2,0,0,2,0,0,2,1,0,0,2,0,0,1
2,CHI,TB,3,2,0,0,3,0,0,2,1,0,0,2,0,0,1
3,PHI,TB,1,1,0,1,0,1,0,2,3,1,0,2,0,0,1
4,NO,NO,3,2,0,1,2,0,0,0,3,0,0,0,0,0,1
6,DET,TB,,,,,,,,,,,,,,,
7,ATL,TB,,,,,,,,,,,,,,,
8,BUF,BUF,,,,,,,,,,,,,,,
9,HOU,HOU,,,,,,,,,,,,,,,
10,TEN,TB,,,,,,,,,,,,,,,
11,SF,SF,,,,,,,,,,,,,,,
12,IND,IND,,,,,,,,,,,,,,,
13,CAR,TB,,,,,,,,,,,,,,,
14,ATL,ATL,,,,,,,,,,,,,,,
15,GB,GB,,,,,,,,,,,,,,,
16,JAX,TB,,,,,,,,,,,,,,,
17,NO,TB,,,,,,,,,,,,,,,
18,CAR,CAR,,,,,,,,,,,,,,,
