ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,NO,NO,0,5,0,0,0,0,0,1,3,0,0,1,0,0,1
2,LAC,TEN,,,,,,,,,,,,,,,
3,CLE,CLE,,,,,,,,,,,,,,,
4,CIN,TEN,,,,,,,,,,,,,,,
5,IND,IND,,,,,,,,,,,,,,,
6,BAL,TOT,,,,,,,,,,,,,,,
8,ATL,TEN,,,,,,,,,,,,,,,
9,PIT,PIT,,,,,,,,,,,,,,,
10,TB,TB,,,,,,,,,,,,,,,
11,JAX,JAX,,,,,,,,,,,,,,,
12,CAR,TEN,,,,,,,,,,,,,,,
13,IND,TEN,,,,,,,,,,,,,,,
14,MIA,MIA,,,,,,,,,,,,,,,
15,HOU,TEN,,,,,,,,,,,,,,,
16,SEA,TEN,,,,,,,,,,,,,,,
17,HOU,HOU,,,,,,,,,,,,,,,
18,JAX,TEN,,,,,,,,,,,,,,,
