WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,ARI,WAS,2,2,0,0,2,0,0,1,3,0,0,1,0,0,1
2,DEN,DEN,4,2,0,1,3,1,0,4,2,0,1,3,0,0,1
3,BUF,WAS,0,1,0,0,0,0,0,4,3,0,0,4,0,0,1
4,PHI,PHI,4,1,0,0,4,0,0,3,3,0,1,2,1,0,1
5,CHI,WAS,2,2,0,2,0,1,0,4,4,0,0,4,0,0,1
6,ATL,ATL,3,1,0,0,3,0,0,2,1,0,1,1,0,0,1
7,NYG,NY,1,0,0,0,1,0,0,2,0,0,0,2,0,0,1
8,PHI,WAS,4,1,0,0,4,0,0,5,1,0,0,5,0,0,1
9,NE,NE,2,2,0,0,2,0,0,2,1,0,0,2,0,0,1
10,SEA,SEA,3,2,0,0,2,0,0,2,5,0,0,2,0,0,1
11,NYG,WAS,2,2,0,0,1,0,0,4,1,0,0,4,0,0,1
12,DAL,DAL,1,1,0,0,1,0,0,6,1,0,1,4,1,0,1
13,MIA,WAS,2,0,0,1,1,1,0,6,1,0,0,6,0,0,1
15,LAR,LA,3,0,0,0,2,0,0,3,2,0,1,2,1,0,1
16,NYJ,NY,4,0,0,0,4,0,0,3,3,0,0,3,0,0,1
17,SF,WAS,1,1,0,0,1,0,0,3,2,0,0,3,0,0,1
18,DAL,WAS,1,1,0,0,1,0,0,5,1,0,0,5,0,0,1
