,BAL,BUF,KC,HOU,CLE,MIA,PIT,SF,DAL,DET,TB,PHI,LAR,GB
BAL,,0.63748,0.76956,0.89938,0.813965,0.68816,0.890365,0.531465,0.5671,0.73874,0.841115,0.884385,0.824325,0.819005
BUF,0.36252,,0.656615,0.84796,0.71775,0.588745,0.82233,0.37788,0.446085,0.62499,0.756815,0.8075,0.73985,0.742235
KC,0.23044,0.343385,,0.72551,0.58065,0.445975,0.70017,0.244655,0.30901,0.469305,0.624085,0.69219,0.58485,0.580975
HOU,0.10062,0.15204,0.27449,,0.344605,0.265995,0.455405,0.10151,0.145125,0.247325,0.382895,0.44963,0.345725,0.348235
CLE,0.186035,0.28225,0.41935,0.655395,,0.395695,0.615705,0.183545,0.249725,0.381855,0.534735,0.60265,0.501675,0.50154
MIA,0.31184,0.411255,0.554025,0.734005,0.604305,,0.712685,0.336005,0.38262,0.527245,0.64685,0.701165,0.617645,0.618425
PIT,0.109635,0.17767,0.29983,0.544595,0.384295,0.287315,,0.110305,0.170105,0.28131,0.424795,0.491665,0.382565,0.378505
SF,0.468535,0.62212,0.755345,0.89849,0.816455,0.663995,0.889695,,0.54953,0.73316,0.84463,0.887545,0.82148,0.81503
DAL,0.4329,0.553915,0.69099,0.854875,0.750275,0.61738,0.829895,0.45047,,0.65879,0.77914,0.81978,0.760555,0.75598
DET,0.26126,0.37501,0.530695,0.752675,0.618145,0.472755,0.71869,0.26684,0.34121,,0.659255,0.72434,0.622435,0.620645
TB,0.158885,0.243185,0.375915,0.617105,0.465265,0.35315,0.575205,0.15537,0.22086,0.340745,,0.56694,0.460685,0.458515
PHI,0.115615,0.1925,0.30781,0.55037,0.39735,0.298835,0.508335,0.112455,0.18022,0.27566,0.43306,,0.385565,0.388785
LAR,0.175675,0.26015,0.41515,0.654275,0.498325,0.382355,0.617435,0.17852,0.239445,0.377565,0.539315,0.614435,,0.50023
GB,0.180995,0.257765,0.419025,0.651765,0.49846,0.381575,0.621495,0.18497,0.24402,0.379355,0.541485,0.611215,0.49977,
