,Attack,Defense,Overall,Standardised,Quantile
DAL,6.5,-9.25,15.75,2.5011589747966068,0.9938106201260778
SF,6.25,-6.5,12.75,2.024747741502015,0.9785533631849462
NYJ,4.0,-8.0,12.0,1.9056449331783671,0.971651855882419
LAR,3.75,-4.5,8.25,1.3101308915601273,0.9049242201900909
ATL,2.25,-4.5,6.75,1.0719252749128314,0.858123201619511
GB,6.25,1.0,5.25,0.8337196582655356,0.7977805110906477
KC,-3.75,-8.0,4.25,0.6749159138340051,0.7501354053545696
JAX,-0.25,-3.25,3.0,0.4764112332945918,0.6831092833359917
BUF,2.0,-0.25,2.25,0.35730842497094384,0.6395695382397022
PIT,1.75,-0.5,2.25,0.35730842497094384,0.6395695382397022
TEN,-2.0,-3.5,1.5,0.2382056166472959,0.5941391894819529
MIN,2.0,0.5,1.5,0.2382056166472959,0.5941391894819529
WAS,1.75,1.25,0.5,0.07940187221576529,0.5316435102337864
PHI,3.75,3.5,0.25,0.039700936107882646,0.5158342223196631
MIA,2.0,1.75,0.25,0.039700936107882646,0.5158342223196631
LAC,6.25,6.0,0.25,0.039700936107882646,0.5158342223196631
NE,-6.25,-5.25,-1.0,-0.15880374443153059,0.4369117493107357
NO,-3.0,-2.0,-1.0,-0.15880374443153059,0.4369117493107357
DET,3.25,5.25,-2.0,-0.31760748886306117,0.37539134639267413
CLE,-2.75,-0.5,-2.25,-0.35730842497094384,0.36043046176029775
TB,-6.25,-3.5,-2.75,-0.4367102971867091,0.3311607302638476
CIN,-2.0,1.0,-3.0,-0.4764112332945918,0.31689071666400825
BAL,-0.75,2.5,-3.25,-0.5161121694024744,0.3028880344673609
CAR,-3.75,0.75,-4.5,-0.7146168499418877,0.23742291499876866
NYG,0.25,5.5,-5.25,-0.8337196582655356,0.20221948890935226
IND,2.5,8.25,-5.75,-0.913121530481301,0.1805893139190215
SEA,-1.5,4.25,-5.75,-0.913121530481301,0.1805893139190215
CHI,-1.25,5.25,-6.5,-1.0322243388049488,0.15098351789255926
DEN,-1.25,5.5,-6.75,-1.0719252749128314,0.14187679838048906
LV,-6.0,1.25,-7.25,-1.1513271471285969,0.12479883644726947
HOU,-6.5,2.0,-8.5,-1.3498318276680101,0.08853496653744469
ARI,-7.25,4.0,-11.25,-1.786542124854719,0.03700576148279953
