round_number,year,month,day,team1,team2,venue,knockout
1,2023,9,7,KC,DET,KC,TRUE
1,2023,9,10,ATL,CAR,ATL,TRUE
1,2023,9,10,BAL,HOU,BAL,TRUE
1,2023,9,10,CLE,CIN,CLE,TRUE
1,2023,9,10,IND,JAX,IND,TRUE
1,2023,9,10,MIN,TB,MIN,TRUE
1,2023,9,10,NO,TEN,NO,TRUE
1,2023,9,10,PIT,SF,PIT,TRUE
1,2023,9,10,WAS,ARI,WAS,TRUE
1,2023,9,10,CHI,GB,CHI,TRUE
1,2023,9,10,DEN,LV,DEN,TRUE
1,2023,9,10,LAC,MIA,LA,TRUE
1,2023,9,10,NE,PHI,NE,TRUE
1,2023,9,10,SEA,LAR,SEA,TRUE
1,2023,9,10,NYG,DAL,NY,TRUE
1,2023,9,11,NYJ,BUF,NY,TRUE
2,2023,9,14,PHI,MIN,PHI,TRUE
2,2023,9,17,ATL,GB,ATL,TRUE
2,2023,9,17,BUF,LV,BUF,TRUE
2,2023,9,17,CIN,BAL,CIN,TRUE
2,2023,9,17,DET,SEA,DET,TRUE
2,2023,9,17,HOU,IND,HOU,TRUE
2,2023,9,17,JAX,KC,JAX,TRUE
2,2023,9,17,TB,CHI,TB,TRUE
2,2023,9,17,TEN,LAC,TEN,TRUE
2,2023,9,17,ARI,NYG,ARI,TRUE
2,2023,9,17,LAR,SF,LA,TRUE
2,2023,9,17,DAL,NYJ,DAL,TRUE
2,2023,9,17,DEN,WAS,DEN,TRUE
2,2023,9,17,NE,MIA,NE,TRUE
2,2023,9,18,CAR,NO,CAR,TRUE
2,2023,9,18,PIT,CLE,PIT,TRUE
3,2023,9,21,SF,NYG,SF,TRUE
3,2023,9,24,BAL,IND,BAL,TRUE
3,2023,9,24,CLE,TEN,CLE,TRUE
3,2023,9,24,DET,ATL,DET,TRUE
3,2023,9,24,GB,NO,GB,TRUE
3,2023,9,24,JAX,HOU,JAX,TRUE
3,2023,9,24,MIA,DEN,MIA,TRUE
3,2023,9,24,MIN,LAC,MIN,TRUE
3,2023,9,24,NYJ,NE,NY,TRUE
3,2023,9,24,WAS,BUF,WAS,TRUE
3,2023,9,24,SEA,CAR,SEA,TRUE
3,2023,9,24,ARI,DAL,ARI,TRUE
3,2023,9,24,KC,CHI,KC,TRUE
3,2023,9,24,LV,PIT,LV,TRUE
3,2023,9,25,TB,PHI,TB,TRUE
3,2023,9,25,CIN,LAR,CIN,TRUE
3,2023,9,28,GB,DET,GB,TRUE
4,2023,10,1,JAX,ATL,LON,TRUE
4,2023,10,1,BUF,MIA,BUF,TRUE
4,2023,10,1,CAR,MIN,CAR,TRUE
4,2023,10,1,CHI,DEN,CHI,TRUE
4,2023,10,1,CLE,BAL,CLE,TRUE
4,2023,10,1,HOU,PIT,HOU,TRUE
4,2023,10,1,IND,LAR,IND,TRUE
4,2023,10,1,NO,TB,NO,TRUE
4,2023,10,1,PHI,WAS,PHI,TRUE
4,2023,10,1,TEN,CIN,TEN,TRUE
4,2023,10,1,LAC,LV,LA,TRUE
4,2023,10,1,DAL,NE,DAL,TRUE
4,2023,10,1,SF,ARI,SF,TRUE
4,2023,10,1,NYJ,KC,NY,TRUE
4,2023,10,2,NYG,SEA,NY,TRUE
5,2023,10,5,WAS,CHI,WAS,TRUE
5,2023,10,8,BUF,JAX,TOT,TRUE
5,2023,10,8,ATL,HOU,ATL,TRUE
5,2023,10,8,DET,CAR,DET,TRUE
5,2023,10,8,IND,TEN,IND,TRUE
5,2023,10,8,MIA,NYG,MIA,TRUE
5,2023,10,8,NE,NO,NE,TRUE
5,2023,10,8,PIT,BAL,PIT,TRUE
5,2023,10,8,ARI,CIN,ARI,TRUE
5,2023,10,8,LAR,PHI,LA,TRUE
5,2023,10,8,DEN,NYJ,DEN,TRUE
5,2023,10,8,MIN,KC,MIN,TRUE
5,2023,10,9,SF,DAL,SF,TRUE
5,2023,10,9,LV,GB,LV,TRUE
6,2023,10,12,KC,DEN,KC,TRUE
6,2023,10,15,TEN,BAL,TOT,TRUE
6,2023,10,15,ATL,WAS,ATL,TRUE
6,2023,10,15,CHI,MIN,CHI,TRUE
6,2023,10,15,CIN,SEA,CIN,TRUE
6,2023,10,15,CLE,SF,CLE,TRUE
6,2023,10,15,HOU,NO,HOU,TRUE
6,2023,10,15,JAX,IND,JAX,TRUE
6,2023,10,15,MIA,CAR,MIA,TRUE
6,2023,10,15,TB,DET,TB,TRUE
6,2023,10,15,LV,NE,LV,TRUE
6,2023,10,15,LAR,ARI,LA,TRUE
