code,name,location,lat,lon,elev
BUF,Highmark Stadium,"Orchard Park, New York",42.774,-78.787,0
MIA,Hard Rock Stadium,"Miami Gardens, Florida",27.95833333,-80.23883333,0
NE,Gillette Stadium,"Foxborough, Massachusetts",47.09166667,-71.26666667,0
NY,MetLife Stadium,"East Rutherford, New Jersey",40.80833333,-74.075,0
BAL,M&T Bank Stadium,"Baltimore, Maryland",39.275,-76.625,0
CIN,Paycor Stadium,"Cincinnati, Ohio",39.095,-84.516,0
CLE,Cleveland Browns Stadium,"Cleveland, Ohio",31.50833333,-80.7,0
PIT,Acrisure Stadium,"Pittsburgh, Pennsylvania",40.45,-80.01666667,0
HOU,NRG Stadium,"Houston, Texas",29.68333333,-95.40833333,0
IND,Lucas Oil Stadium,"Indianapolis, Indiana",39.75833333,-86.16666667,0
JAX,EverBank Stadium,"Jacksonville, Florida",30.325,-81.63333333,0
TEN,Nissan Stadium,"Nashville, Tennessee",36.16666667,-86.775,0
DEN,Empower Field at Mile High,"Denver, Colorado",39.74166667,-105.0166667,1609.344
KC,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri",39.05,-94.48333333,0
LV,Allegiant Stadium,"Las Vegas, Nevada",36.09075,-115.183722,0
LA,SoFi Stadium,"Inglewood, California",33.95345,-118.3392,0
DAL,AT&T Stadium,"Arlington, Texas",32.75,-97.08333333,0
PHI,Lincoln Financial Field,"Philadelphia, Pennsylvania",39.9,-75.16666667,0
WAS,FedEx Field,"Landover, Maryland",38.90833333,-76.86666667,0
CHI,Soldier Field,"Chicago, lllinois",41.8623,-87.6176,0
DET,Ford Field,"Detroit, Michigan",42.34166667,83.04166667,0
GB,Lambeau Field,"Green Bay, Wisconsin",44.5,-88.05833333,0
MIN,U.S. Bank Stadium,"Minneapolis, Minnesota",44.974,-93.258,0
ATL,Mercedes-Benz Stadium,"Atlanta, Georgia",33.755,-84.401,0
CAR,Bank of America Stadium,"Charlotte, North Carolina",35.225,-80.85,0
NO,Caesars Superdome,"New Orleans, Louisiana",29.95,-90.08333333,0
TB,Raymond James Stadium,"Tampa, Florida",27.975,-82.5,0
ARI,State Farm Stadium,"Glendale, Arizona",33.525,-112.2666667,0
SEA,Lumen Field,"Seattle, Washington",47.5952,-122.3316,0
SF,Levi's Stadium,"Santa Clara, California",37.403,-121.97,0
LON,Wembley Stadium,"London, England",51.55833333,-0.283333333,0
TOT,Tottenham Hotspur Stadium,"London, England",51.60833333,-0.066666667,0
MEX,Estadio Azteca,"Mexico City, Districto Federal",19.3,-99.15,0
FRA,Deutsche Bank Park,"Frankfurt, Hesse",50.068056,8.645806,0
