ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,BUF,BUF,,,,,,,,,,,,,,,
2,LAR,ARI,,,,,,,,,,,,,,,
3,DET,ARI,,,,,,,,,,,,,,,
4,WAS,ARI,,,,,,,,,,,,,,,
5,SF,SF,,,,,,,,,,,,,,,
6,GB,GB,,,,,,,,,,,,,,,
7,LAC,ARI,,,,,,,,,,,,,,,
8,MIA,MIA,,,,,,,,,,,,,,,
9,CHI,ARI,,,,,,,,,,,,,,,
10,NYJ,ARI,,,,,,,,,,,,,,,
12,SEA,SEA,,,,,,,,,,,,,,,
13,MIN,MIN,,,,,,,,,,,,,,,
14,SEA,ARI,,,,,,,,,,,,,,,
15,NE,ARI,,,,,,,,,,,,,,,
16,CAR,CAR,,,,,,,,,,,,,,,
17,LAR,LA,,,,,,,,,,,,,,,
18,SF,ARI,,,,,,,,,,,,,,,
