ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,KC,KC,,,,,,,,,,,,,,,
2,LV,BAL,,,,,,,,,,,,,,,
3,DAL,DAL,,,,,,,,,,,,,,,
4,BUF,BAL,,,,,,,,,,,,,,,
5,CIN,CIN,,,,,,,,,,,,,,,
6,WAS,BAL,,,,,,,,,,,,,,,
7,TB,TB,,,,,,,,,,,,,,,
8,CLE,CLE,,,,,,,,,,,,,,,
9,DEN,BAL,,,,,,,,,,,,,,,
10,CIN,BAL,,,,,,,,,,,,,,,
11,PIT,PIT,,,,,,,,,,,,,,,
12,LAC,LA,,,,,,,,,,,,,,,
13,PHI,BAL,,,,,,,,,,,,,,,
15,NYG,NY,,,,,,,,,,,,,,,
16,PIT,BAL,,,,,,,,,,,,,,,
17,HOU,HOU,,,,,,,,,,,,,,,
18,CLE,BAL,,,,,,,,,,,,,,,
