ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,ARI,BUF,,,,,,,,,,,,,,,
2,MIA,MIA,,,,,,,,,,,,,,,
2,DET,DET,,,,,,,,,,,,,,,
3,JAX,BUF,,,,,,,,,,,,,,,
4,BAL,BAL,,,,,,,,,,,,,,,
5,HOU,HOU,,,,,,,,,,,,,,,
6,NYJ,NY,,,,,,,,,,,,,,,
7,TEN,BUF,,,,,,,,,,,,,,,
8,SEA,SEA,,,,,,,,,,,,,,,
9,MIA,BUF,,,,,,,,,,,,,,,
10,IND,IND,,,,,,,,,,,,,,,
11,KC,BUF,,,,,,,,,,,,,,,
13,SF,BUF,,,,,,,,,,,,,,,
14,LAR,LA,,,,,,,,,,,,,,,
15,DET,DET,,,,,,,,,,,,,,,
16,NE,BUF,,,,,,,,,,,,,,,
17,NYJ,BUF,,,,,,,,,,,,,,,
18,NE,NE,,,,,,,,,,,,,,,
