ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,NO,NO,,,,,,,,,,,,,,,
2,LAC,CAR,,,,,,,,,,,,,,,
3,LV,LV,,,,,,,,,,,,,,,
4,CIN,CAR,,,,,,,,,,,,,,,
5,CHI,CHI,,,,,,,,,,,,,,,
6,ATL,CAR,,,,,,,,,,,,,,,
7,WAS,WAS,,,,,,,,,,,,,,,
8,DEN,DEN,,,,,,,,,,,,,,,
9,NO,CAR,,,,,,,,,,,,,,,
10,NYG,MUN,,,,,,,,,,,,,,,
12,KC,CAR,,,,,,,,,,,,,,,
13,TB,CAR,,,,,,,,,,,,,,,
14,PHI,PHI,,,,,,,,,,,,,,,
15,DAL,CAR,,,,,,,,,,,,,,,
16,ARI,CAR,,,,,,,,,,,,,,,
17,TB,TB,,,,,,,,,,,,,,,
18,ATL,ATL,,,,,,,,,,,,,,,
