ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,TEN,CHI,,,,,,,,,,,,,,,
2,HOU,HOU,,,,,,,,,,,,,,,
3,IND,IND,,,,,,,,,,,,,,,
4,LAR,CHI,,,,,,,,,,,,,,,
5,CAR,CHI,,,,,,,,,,,,,,,
6,JAX,TOT,,,,,,,,,,,,,,,
8,WAS,WAS,,,,,,,,,,,,,,,
9,ARI,ARI,,,,,,,,,,,,,,,
10,NE,CHI,,,,,,,,,,,,,,,
11,GB,CHI,,,,,,,,,,,,,,,
12,MIN,CHI,,,,,,,,,,,,,,,
13,DET,DET,,,,,,,,,,,,,,,
14,SF,SF,,,,,,,,,,,,,,,
15,MIN,MIN,,,,,,,,,,,,,,,
16,DET,CHI,,,,,,,,,,,,,,,
17,SEA,CHI,,,,,,,,,,,,,,,
18,GB,GB,,,,,,,,,,,,,,,
