ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,NE,CIN,,,,,,,,,,,,,,,
2,KC,KC,,,,,,,,,,,,,,,
3,WAS,CIN,,,,,,,,,,,,,,,
4,CAR,CAR,,,,,,,,,,,,,,,
5,BAL,CIN,,,,,,,,,,,,,,,
6,NYG,NY,,,,,,,,,,,,,,,
7,CLE,CLE,,,,,,,,,,,,,,,
8,PHI,CIN,,,,,,,,,,,,,,,
9,LV,CIN,,,,,,,,,,,,,,,
10,BAL,BAL,,,,,,,,,,,,,,,
11,LAC,LA,,,,,,,,,,,,,,,
13,PIT,CIN,,,,,,,,,,,,,,,
14,DAL,DAL,,,,,,,,,,,,,,,
15,TEN,TEN,,,,,,,,,,,,,,,
16,CLE,CIN,,,,,,,,,,,,,,,
17,DET,CIN,,,,,,,,,,,,,,,
18,PIT,PIT,,,,,,,,,,,,,,,
