ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,DAL,CLE,,,,,,,,,,,,,,,
2,JAX,JAX,,,,,,,,,,,,,,,
3,NYG,CLE,,,,,,,,,,,,,,,
4,LV,LV,,,,,,,,,,,,,,,
5,WAS,WAS,,,,,,,,,,,,,,,
6,PHI,PHI,,,,,,,,,,,,,,,
7,CIN,CLE,,,,,,,,,,,,,,,
8,BAL,CLE,,,,,,,,,,,,,,,
9,LAC,CLE,,,,,,,,,,,,,,,
11,NO,NO,,,,,,,,,,,,,,,
12,PIT,CLE,,,,,,,,,,,,,,,
13,DEN,DEN,,,,,,,,,,,,,,,
14,PIT,PIT,,,,,,,,,,,,,,,
15,KC,CLE,,,,,,,,,,,,,,,
16,CIN,CIN,,,,,,,,,,,,,,,
17,MIA,CLE,,,,,,,,,,,,,,,
18,BAL,BAL,,,,,,,,,,,,,,,
