ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,CLE,CLE,,,,,,,,,,,,,,,
2,NO,DAL,,,,,,,,,,,,,,,
3,BAL,DAL,,,,,,,,,,,,,,,
4,NYG,NY,,,,,,,,,,,,,,,
5,PIT,PIT,,,,,,,,,,,,,,,
6,DET,DAL,,,,,,,,,,,,,,,
8,SF,SF,,,,,,,,,,,,,,,
9,ATL,ATL,,,,,,,,,,,,,,,
10,PHI,DAL,,,,,,,,,,,,,,,
11,HOU,DAL,,,,,,,,,,,,,,,
12,WAS,WAS,,,,,,,,,,,,,,,
13,NYG,DAL,,,,,,,,,,,,,,,
14,CIN,DAL,,,,,,,,,,,,,,,
15,CAR,CAR,,,,,,,,,,,,,,,
16,TB,DAL,,,,,,,,,,,,,,,
17,PHI,PHI,,,,,,,,,,,,,,,
18,WAS,DAL,,,,,,,,,,,,,,,
