ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,SEA,SEA,,,,,,,,,,,,,,,
2,PIT,DEN,,,,,,,,,,,,,,,
3,TB,TB,,,,,,,,,,,,,,,
4,NYJ,NY,,,,,,,,,,,,,,,
5,LV,DEN,,,,,,,,,,,,,,,
6,LAC,DEN,,,,,,,,,,,,,,,
7,NO,NO,,,,,,,,,,,,,,,
8,CAR,DEN,,,,,,,,,,,,,,,
9,BAL,BAL,,,,,,,,,,,,,,,
10,KC,KC,,,,,,,,,,,,,,,
11,ATL,DEN,,,,,,,,,,,,,,,
12,LV,LV,,,,,,,,,,,,,,,
13,CLE,DEN,,,,,,,,,,,,,,,
15,IND,DEN,,,,,,,,,,,,,,,
16,LAC,LA,,,,,,,,,,,,,,,
18,KC,DEN,,,,,,,,,,,,,,,
