ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,LAR,DET,,,,,,,,,,,,,,,
2,BUF,DET,,,,,,,,,,,,,,,
3,ARI,ARI,,,,,,,,,,,,,,,
4,SEA,DET,,,,,,,,,,,,,,,
6,DAL,DAL,,,,,,,,,,,,,,,
7,MIN,MIN,,,,,,,,,,,,,,,
8,TEN,DET,,,,,,,,,,,,,,,
9,GB,GB,,,,,,,,,,,,,,,
10,HOU,HOU,,,,,,,,,,,,,,,
11,JAX,DET,,,,,,,,,,,,,,,
12,IND,IND,,,,,,,,,,,,,,,
13,CHI,DET,,,,,,,,,,,,,,,
14,GB,DET,,,,,,,,,,,,,,,
15,BUF,DET,,,,,,,,,,,,,,,
16,CHI,CHI,,,,,,,,,,,,,,,
17,CIN,CIN,,,,,,,,,,,,,,,
17,SF,SF,,,,,,,,,,,,,,,
18,MIN,DET,,,,,,,,,,,,,,,
