ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,PHI,SP,,,,,,,,,,,,,,,
2,IND,GB,,,,,,,,,,,,,,,
3,TEN,TEN,,,,,,,,,,,,,,,
4,MIN,GB,,,,,,,,,,,,,,,
5,LAR,LA,,,,,,,,,,,,,,,
6,ARI,GB,,,,,,,,,,,,,,,
7,HOU,GB,,,,,,,,,,,,,,,
8,JAX,JAX,,,,,,,,,,,,,,,
9,DET,GB,,,,,,,,,,,,,,,
11,CHI,CHI,,,,,,,,,,,,,,,
12,SF,GB,,,,,,,,,,,,,,,
13,MIA,GB,,,,,,,,,,,,,,,
14,DET,DET,,,,,,,,,,,,,,,
15,SEA,SEA,,,,,,,,,,,,,,,
16,NO,GB,,,,,,,,,,,,,,,
17,MIN,MIN,,,,,,,,,,,,,,,
18,CHI,GB,,,,,,,,,,,,,,,
