ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,IND,IND,,,,,,,,,,,,,,,
2,CHI,HOU,,,,,,,,,,,,,,,
3,MIN,MIN,,,,,,,,,,,,,,,
4,JAX,HOU,,,,,,,,,,,,,,,
5,BUF,HOU,,,,,,,,,,,,,,,
6,NE,NE,,,,,,,,,,,,,,,
7,GB,GB,,,,,,,,,,,,,,,
8,IND,HOU,,,,,,,,,,,,,,,
9,NYJ,NY,,,,,,,,,,,,,,,
10,DET,HOU,,,,,,,,,,,,,,,
11,DAL,DAL,,,,,,,,,,,,,,,
12,TEN,HOU,,,,,,,,,,,,,,,
13,JAX,JAX,,,,,,,,,,,,,,,
15,MIA,HOU,,,,,,,,,,,,,,,
16,KC,KC,,,,,,,,,,,,,,,
17,BAL,HOU,,,,,,,,,,,,,,,
18,TEN,TEN,,,,,,,,,,,,,,,
