ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,HOU,IND,,,,,,,,,,,,,,,
2,GB,GB,,,,,,,,,,,,,,,
3,CHI,IND,,,,,,,,,,,,,,,
4,PIT,IND,,,,,,,,,,,,,,,
5,JAX,JAX,,,,,,,,,,,,,,,
6,TEN,TEN,,,,,,,,,,,,,,,
7,MIA,IND,,,,,,,,,,,,,,,
8,HOU,HOU,,,,,,,,,,,,,,,
9,MIN,MIN,,,,,,,,,,,,,,,
10,BUF,IND,,,,,,,,,,,,,,,
11,NYJ,NY,,,,,,,,,,,,,,,
12,DET,IND,,,,,,,,,,,,,,,
13,NE,NE,,,,,,,,,,,,,,,
15,DEN,DEN,,,,,,,,,,,,,,,
16,TEN,IND,,,,,,,,,,,,,,,
17,NYG,NY,,,,,,,,,,,,,,,
18,JAX,IND,,,,,,,,,,,,,,,
