ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,MIA,MIA,,,,,,,,,,,,,,,
2,CLE,JAX,,,,,,,,,,,,,,,
3,BUF,BUF,,,,,,,,,,,,,,,
4,HOU,HOU,,,,,,,,,,,,,,,
5,IND,JAX,,,,,,,,,,,,,,,
6,CHI,TOT,,,,,,,,,,,,,,,
7,NE,LON,,,,,,,,,,,,,,,
8,GB,JAX,,,,,,,,,,,,,,,
9,PHI,PHI,,,,,,,,,,,,,,,
10,MIN,JAX,,,,,,,,,,,,,,,
11,DET,DET,,,,,,,,,,,,,,,
13,HOU,JAX,,,,,,,,,,,,,,,
14,TEN,TEN,,,,,,,,,,,,,,,
15,NYJ,JAX,,,,,,,,,,,,,,,
16,LV,LV,,,,,,,,,,,,,,,
17,TEN,JAX,,,,,,,,,,,,,,,
18,IND,IND,,,,,,,,,,,,,,,
