ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,DET,DET,,,,,,,,,,,,,,,
2,ARI,ARI,,,,,,,,,,,,,,,
3,SF,LA,,,,,,,,,,,,,,,
4,CHI,CHI,,,,,,,,,,,,,,,
5,GB,LA,,,,,,,,,,,,,,,
7,LV,LA,,,,,,,,,,,,,,,
8,MIN,LA,,,,,,,,,,,,,,,
9,SEA,SEA,,,,,,,,,,,,,,,
10,MIA,LA,,,,,,,,,,,,,,,
11,NE,NE,,,,,,,,,,,,,,,
12,PHI,LA,,,,,,,,,,,,,,,
13,NO,NO,,,,,,,,,,,,,,,
14,BUF,LA,,,,,,,,,,,,,,,
15,SF,SF,,,,,,,,,,,,,,,
16,NYJ,NY,,,,,,,,,,,,,,,
17,ARI,LA,,,,,,,,,,,,,,,
18,SEA,LA,,,,,,,,,,,,,,,
