ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,LAC,LA,,,,,,,,,,,,,,,
2,BAL,BAL,,,,,,,,,,,,,,,
3,CAR,LV,,,,,,,,,,,,,,,
4,CLE,LV,,,,,,,,,,,,,,,
5,DEN,DEN,,,,,,,,,,,,,,,
6,PIT,LV,,,,,,,,,,,,,,,
7,LAR,LA,,,,,,,,,,,,,,,
8,KC,LV,,,,,,,,,,,,,,,
9,CIN,CIN,,,,,,,,,,,,,,,
11,MIA,MIA,,,,,,,,,,,,,,,
12,DEN,LV,,,,,,,,,,,,,,,
13,KC,KC,,,,,,,,,,,,,,,
14,TB,TB,,,,,,,,,,,,,,,
15,ATL,LV,,,,,,,,,,,,,,,
16,JAX,LV,,,,,,,,,,,,,,,
17,NO,NO,,,,,,,,,,,,,,,
18,LAC,LV,,,,,,,,,,,,,,,
