ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,JAX,MIA,,,,,,,,,,,,,,,
2,BUF,MIA,,,,,,,,,,,,,,,
3,SEA,SEA,,,,,,,,,,,,,,,
4,TEN,MIA,,,,,,,,,,,,,,,
5,NE,NE,,,,,,,,,,,,,,,
7,IND,IND,,,,,,,,,,,,,,,
8,ARI,MIA,,,,,,,,,,,,,,,
9,BUF,BUF,,,,,,,,,,,,,,,
10,LAR,LA,,,,,,,,,,,,,,,
11,LV,MIA,,,,,,,,,,,,,,,
12,NE,MIA,,,,,,,,,,,,,,,
13,GB,GB,,,,,,,,,,,,,,,
14,NYJ,MIA,,,,,,,,,,,,,,,
15,HOU,HOU,,,,,,,,,,,,,,,
16,SF,MIA,,,,,,,,,,,,,,,
17,CLE,CLE,,,,,,,,,,,,,,,
18,NYJ,NY,,,,,,,,,,,,,,,
