ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,CAR,NO,,,,,,,,,,,,,,,
2,DAL,DAL,,,,,,,,,,,,,,,
3,PHI,NO,,,,,,,,,,,,,,,
4,ATL,ATL,,,,,,,,,,,,,,,
5,KC,KC,,,,,,,,,,,,,,,
6,TB,NO,,,,,,,,,,,,,,,
7,DEN,NO,,,,,,,,,,,,,,,
8,LAC,LA,,,,,,,,,,,,,,,
9,CAR,CAR,,,,,,,,,,,,,,,
10,ATL,NO,,,,,,,,,,,,,,,
11,CLE,NO,,,,,,,,,,,,,,,
13,LAR,NO,,,,,,,,,,,,,,,
14,NYG,NY,,,,,,,,,,,,,,,
15,WAS,NO,,,,,,,,,,,,,,,
16,GB,GB,,,,,,,,,,,,,,,
17,LV,NO,,,,,,,,,,,,,,,
18,TB,TB,,,,,,,,,,,,,,,
