ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,MIN,NY,,,,,,,,,,,,,,,
2,WAS,WAS,,,,,,,,,,,,,,,
3,CLE,CLE,,,,,,,,,,,,,,,
4,DAL,NY,,,,,,,,,,,,,,,
5,SEA,SEA,,,,,,,,,,,,,,,
6,CIN,NY,,,,,,,,,,,,,,,
7,PHI,NY,,,,,,,,,,,,,,,
8,PIT,PIT,,,,,,,,,,,,,,,
9,WAS,NY,,,,,,,,,,,,,,,
10,CAR,MUN,,,,,,,,,,,,,,,
12,TB,NY,,,,,,,,,,,,,,,
13,DAL,DAL,,,,,,,,,,,,,,,
14,NO,NY,,,,,,,,,,,,,,,
15,BAL,NY,,,,,,,,,,,,,,,
16,ATL,ATL,,,,,,,,,,,,,,,
17,IND,NY,,,,,,,,,,,,,,,
18,PHI,PHI,,,,,,,,,,,,,,,
