ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,ATL,ATL,,,,,,,,,,,,,,,
2,DEN,DEN,,,,,,,,,,,,,,,
3,LAC,PIT,,,,,,,,,,,,,,,
4,IND,IND,,,,,,,,,,,,,,,
5,DAL,PIT,,,,,,,,,,,,,,,
6,LV,LV,,,,,,,,,,,,,,,
7,NYJ,PIT,,,,,,,,,,,,,,,
8,NYG,PIT,,,,,,,,,,,,,,,
10,WAS,WAS,,,,,,,,,,,,,,,
11,BAL,PIT,,,,,,,,,,,,,,,
12,CLE,CLE,,,,,,,,,,,,,,,
13,CIN,CIN,,,,,,,,,,,,,,,
14,CLE,PIT,,,,,,,,,,,,,,,
15,PHI,PHI,,,,,,,,,,,,,,,
16,BAL,BAL,,,,,,,,,,,,,,,
17,KC,PIT,,,,,,,,,,,,,,,
18,CIN,PIT,,,,,,,,,,,,,,,
