ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,DEN,SEA,,,,,,,,,,,,,,,
2,NE,NE,,,,,,,,,,,,,,,
3,MIA,SEA,,,,,,,,,,,,,,,
4,DET,DET,,,,,,,,,,,,,,,
5,NYG,SEA,,,,,,,,,,,,,,,
6,SF,SEA,,,,,,,,,,,,,,,
7,ATL,ATL,,,,,,,,,,,,,,,
8,BUF,SEA,,,,,,,,,,,,,,,
9,LAR,SEA,,,,,,,,,,,,,,,
11,SF,SF,,,,,,,,,,,,,,,
12,ARI,SEA,,,,,,,,,,,,,,,
13,NYJ,NY,,,,,,,,,,,,,,,
14,ARI,ARI,,,,,,,,,,,,,,,
15,GB,SEA,,,,,,,,,,,,,,,
16,MIN,SEA,,,,,,,,,,,,,,,
17,CHI,CHI,,,,,,,,,,,,,,,
18,LAR,LA,,,,,,,,,,,,,,,
