ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,NYJ,SF,,,,,,,,,,,,,,,
2,MIN,MIN,,,,,,,,,,,,,,,
3,LAR,LA,,,,,,,,,,,,,,,
4,NE,SF,,,,,,,,,,,,,,,
5,ARI,SF,,,,,,,,,,,,,,,
6,SEA,SEA,,,,,,,,,,,,,,,
7,KC,SF,,,,,,,,,,,,,,,
8,DAL,SF,,,,,,,,,,,,,,,
10,TB,TB,,,,,,,,,,,,,,,
11,SEA,SF,,,,,,,,,,,,,,,
12,GB,GB,,,,,,,,,,,,,,,
13,BUF,BUF,,,,,,,,,,,,,,,
14,CHI,SF,,,,,,,,,,,,,,,
15,LAR,SF,,,,,,,,,,,,,,,
16,MIA,MIA,,,,,,,,,,,,,,,
17,DET,SF,,,,,,,,,,,,,,,
18,ARI,ARI,,,,,,,,,,,,,,,
