ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,WAS,TB,,,,,,,,,,,,,,,
3,DEN,TB,,,,,,,,,,,,,,,
4,PHI,TB,,,,,,,,,,,,,,,
5,ATL,ATL,,,,,,,,,,,,,,,
6,NO,NO,,,,,,,,,,,,,,,
7,BAL,TB,,,,,,,,,,,,,,,
8,ATL,TB,,,,,,,,,,,,,,,
9,KC,KC,,,,,,,,,,,,,,,
10,SF,TB,,,,,,,,,,,,,,,
12,NYG,NY,,,,,,,,,,,,,,,
13,CAR,CAR,,,,,,,,,,,,,,,
14,LV,TB,,,,,,,,,,,,,,,
15,LAC,LA,,,,,,,,,,,,,,,
16,DAL,DAL,,,,,,,,,,,,,,,
17,CAR,TB,,,,,,,,,,,,,,,
18,NO,TB,,,,,,,,,,,,,,,
