ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,TB,TB,,,,,,,,,,,,,,,
2,NYG,WAS,,,,,,,,,,,,,,,
3,CIN,CIN,,,,,,,,,,,,,,,
4,ARI,ARI,,,,,,,,,,,,,,,
5,CLE,WAS,,,,,,,,,,,,,,,
6,BAL,BAL,,,,,,,,,,,,,,,
7,CAR,WAS,,,,,,,,,,,,,,,
8,CHI,WAS,,,,,,,,,,,,,,,
9,NYG,NY,,,,,,,,,,,,,,,
10,PIT,WAS,,,,,,,,,,,,,,,
11,PHI,PHI,,,,,,,,,,,,,,,
12,DAL,WAS,,,,,,,,,,,,,,,
13,TEN,WAS,,,,,,,,,,,,,,,
15,NO,NO,,,,,,,,,,,,,,,
16,PHI,WAS,,,,,,,,,,,,,,,
17,ATL,WAS,,,,,,,,,,,,,,,
18,DAL,DAL,,,,,,,,,,,,,,,
