ROUND,OPP,VENUE,G_F,B_F,G_A,B_A,weight
1,GWS,SSS,12,18,15,16,1
2,RIC,ADE,10,16,17,6,1
3,PA,ADE,18,9,13,8,1
4,FRE,ADE,17,9,10,12,1
5,CAR,ADE,18,10,9,8,1
6,HAW,YOR,11,13,11,10,1
7,COL,ADE,7,16,8,11,1
8,GEE,KAR,11,6,14,14,1
9,STK,ADE,19,7,10,9,1
10,WB,EUR,5,10,11,19,1
11,BL,ADE,14,11,10,18,1
12,GC,MAR,13,9,16,16,1
13,WC,ADE,27,12,8,4,1
15,COL,MCG,11,14,12,10,1
16,NM,ADE,21,12,11,6,1
17,ESS,DOC,15,9,17,13,1
18,GWS,ADE,8,9,10,11,1
19,MEL,MCG,13,15,14,13,1
20,PA,ADE,16,16,9,11,1
21,GC,ADE,13,11,9,7,1
22,BL,GAB,13,15,15,9,1
23,SYD,ADE,10,13,11,8,1
24,WC,PER,,,,,
