ROUND,OPP,VENUE,G_F,B_F,G_A,B_A,weight
1,GEE,MCG,19,11,16,7,1
2,PA,MCG,21,9,9,10,1
3,RIC,MCG,8,15,7,7,1
4,BL,GAB,11,17,18,8,1
5,STK,ADE,10,10,9,10,1
6,ESS,MCG,13,12,11,11,1
7,ADE,ADE,8,11,7,16,1
8,SYD,MCG,11,11,6,12,1
9,GWS,MCG,18,12,7,13,1
10,CAR,MCG,13,7,7,15,1
11,NM,DOC,16,9,10,10,1
12,WC,PER,18,12,8,9,1
13,MEL,MCG,9,8,8,18,1
15,ADE,MCG,12,10,11,14,1
16,GC,CRR,18,12,5,12,1
17,WB,DOC,13,11,11,11,1
18,FRE,MCG,,,,,
19,PA,ADE,,,,,
20,CAR,MCG,,,,,
21,HAW,MCG,,,,,
22,GEE,MCG,,,,,
23,BL,DOC,,,,,
24,ESS,MCG,,,,,
