ROUND,OPP,VENUE,G_F,B_F,G_A,B_A,weight
1,STK,DOC,7,10,10,7,1
2,NM,PER,10,12,11,7,1
3,WC,PER,16,12,9,13,1
4,ADE,ADE,10,12,17,9,1
5,GC,NOR,15,10,13,12,1
6,WB,PER,10,9,17,16,1
7,BL,GAB,10,7,17,13,1
8,HAW,PER,18,9,7,6,1
9,SYD,SCG,16,7,13,8,1
10,GEE,PER,16,10,11,11,1
11,MEL,MCG,12,7,10,12,1
13,RIC,PER,10,10,12,13,1
14,GWS,SSS,5,6,16,10,1
15,ESS,PER,14,9,9,7,1
16,WB,DOC,11,7,16,6,1
17,CAR,PER,6,9,14,14,1
18,COL,MCG,10,7,18,5,1
19,SYD,PER,12,4,16,9,1
20,GEE,KAR,10,11,9,10,1
21,BL,PER,11,8,11,11,1
22,WC,PER,20,14,4,9,1
23,PA,PER,8,10,11,8,1
24,HAW,MCG,,,,,
