ROUND,OPP,VENUE,G_F,B_F,G_A,B_A,weight
1,SYD,CRR,9,7,16,14,1
2,ESS,DOC,11,14,16,12,1
3,GEE,CRR,10,13,7,12,1
4,STK,DOC,8,12,17,11,1
5,FRE,NOR,13,12,15,10,1
6,NM,CRR,14,13,7,12,1
7,RIC,DOC,11,6,6,12,1
8,MEL,CRR,13,7,13,12,1
9,WC,PER,16,17,6,7,1
10,BL,GAB,9,10,16,11,1
11,WB,MAR,13,6,11,11,1
12,ADE,MAR,16,16,13,9,1
14,CAR,MCG,8,13,18,12,1
15,HAW,CRR,14,17,5,4,1
16,COL,CRR,5,12,18,12,1
17,PA,ADE,11,7,16,10,1
18,STK,CRR,11,11,8,3,1
19,GWS,MAN,,,,,
20,BL,CRR,,,,,
21,ADE,ADE,,,,,
22,SYD,SCG,,,,,
23,CAR,KAR,,,,,
24,NM,BEL,,,,,
