ROUND,OPP,VENUE,G_F,B_F,G_A,B_A,weight
1,COL,MCG,16,7,19,11,1
2,CAR,MCG,12,10,13,12,1
3,GC,CRR,7,12,10,13,1
4,HAW,MCG,19,13,6,9,1
5,WC,ADE,21,10,13,11,1
6,SYD,KAR,20,10,5,7,1
7,ESS,MCG,20,12,16,8,1
8,ADE,KAR,14,14,11,6,1
9,RIC,MCG,11,12,16,6,1
10,FRE,PER,11,11,16,10,1
11,GWS,KAR,10,14,12,9,1
12,WB,DOC,15,7,10,15,1
14,PA,ADE,11,6,16,14,1
15,MEL,KAR,11,12,8,15,1
16,SYD,SCG,7,12,6,18,1
17,NM,KAR,19,11,9,9,1
18,ESS,KAR,,,,,
19,BL,GAB,,,,,
20,FRE,KAR,,,,,
21,PA,KAR,,,,,
22,COL,MCG,,,,,
23,STK,DOC,,,,,
24,WB,KAR,,,,,
