ROUND,OPP,VENUE,G_F,B_F,G_A,B_A,weight
1,ESS,MCG,9,11,19,10,1
2,SYD,SCG,4,13,17,16,1
3,NM,YOR,11,14,9,7,1
4,GEE,MCG,6,9,19,13,1
5,GWS,NOR,11,9,10,17,1
6,ADE,YOR,11,10,11,13,1
7,WB,DOC,9,11,14,10,1
8,FRE,PER,7,6,18,9,1
9,MEL,MCG,7,7,15,13,1
10,WC,YOR,22,10,4,2,1
11,STK,DOC,12,16,12,6,1
12,PA,ADE,14,12,23,13,1
13,BL,MCG,15,8,11,7,1
15,GC,CRR,5,4,14,17,1
16,CAR,MCG,7,10,17,10,1
17,GWS,SSS,10,12,12,13,1
18,NM,DOC,12,16,6,4,1
19,RIC,MCG,15,5,14,12,1
20,STK,DOC,14,9,19,8,1
21,COL,MCG,16,9,11,7,1
22,WB,YOR,9,13,9,10,1
23,MEL,MCG,9,6,13,9,1
24,FRE,MCG,8,8,14,9,1
