ROUND,OPP,VENUE,G_F,B_F,G_A,B_A,weight
1,WB,MCG,17,13,9,11,1
2,BL,GAB,13,4,14,9,1
3,SYD,MCG,21,8,12,12,1
4,WC,PER,19,12,9,9,1
5,ESS,ADE,11,11,15,14,1
6,RIC,MCG,15,6,11,12,1
7,NM,MCG,22,7,7,7,1
8,GC,CRR,13,12,13,7,1
9,HAW,MCG,15,13,7,7,1
10,PA,ADE,11,10,11,14,1
11,FRE,MCG,10,12,12,7,1
12,CAR,MCG,8,13,6,8,1
13,COL,MCG,8,18,9,8,1
15,GEE,KAR,8,15,11,12,1
16,GWS,TRA,5,15,7,5,1
17,STK,DOC,12,7,8,10,1
18,BL,MCG,16,9,16,8,1
19,ADE,MCG,14,13,13,15,1
20,RIC,MCG,20,10,15,8,1
21,NM,BEL,15,13,10,11,1
22,CAR,MCG,8,8,9,6,1
23,HAW,MCG,13,9,9,6,1
24,SYD,SCG,,,,,
