ROUND,OPP,VENUE,G_F,B_F,G_A,B_A,weight
1,WC,DOC,12,15,12,10,1
2,FRE,PER,11,7,10,12,1
3,HAW,YOR,9,7,11,14,1
4,CAR,DOC,11,18,16,11,1
5,BL,SUM,12,5,22,20,1
6,GC,CRR,7,12,14,13,1
7,MEL,MCG,7,7,22,7,1
8,STK,MAR,4,10,8,16,1
9,PA,BEL,10,5,20,15,1
10,SYD,DOC,14,6,14,9,1
11,COL,DOC,10,10,16,9,1
12,ESS,DOC,15,9,16,9,1
13,GWS,BEL,11,9,15,13,1
14,WB,DOC,13,6,15,15,1
16,ADE,ADE,11,6,21,12,1
17,GEE,KAR,9,9,19,11,1
18,HAW,DOC,,,,,
19,STK,DOC,,,,,
20,WC,PER,,,,,
21,MEL,BEL,,,,,
22,ESS,DOC,,,,,
23,RIC,MCG,,,,,
24,GC,BEL,,,,,
