ROUND,OPP,VENUE,G_F,B_F,G_A,B_A,weight
1,CAR,MCG,8,10,8,10,1
2,ADE,ADE,17,6,10,16,1
3,COL,MCG,7,7,8,15,1
4,WB,MCG,12,12,12,17,1
5,SYD,ADE,11,12,18,14,1
6,MEL,MCG,11,12,15,6,1
7,GC,DOC,6,12,11,6,1
8,WC,MCG,15,14,8,10,1
9,GEE,MCG,16,6,11,12,1
10,ESS,MCG,10,10,10,11,1
11,PA,MCG,9,13,10,17,1
12,GWS,SSS,16,14,15,14,1
13,FRE,PER,12,13,10,10,1
14,STK,MCG,13,12,11,4,1
16,BL,GAB,7,11,20,14,1
17,SYD,MCG,12,16,11,9,1
18,WC,PER,14,14,8,12,1
19,HAW,MCG,14,12,15,5,1
20,MEL,MCG,,,,,
21,WB,DOC,,,,,
22,STK,MAR,,,,,
23,NM,MCG,,,,,
24,PA,ADE,,,,,
