ROUND,OPP,VENUE,G_F,B_F,G_A,B_A,weight
1,FRE,DOC,10,7,7,10,1
2,WB,DOC,14,8,5,11,1
3,ESS,MCG,14,8,11,8,1
4,GC,DOC,17,11,8,12,1
5,COL,ADE,9,10,10,10,1
6,CAR,DOC,12,10,8,12,1
7,PA,DOC,11,10,12,11,1
8,NM,MAR,8,16,4,10,1
9,ADE,ADE,10,9,19,7,1
10,GWS,SSS,13,14,12,8,1
11,HAW,DOC,12,6,12,16,1
13,SYD,SCG,12,8,9,12,1
14,RIC,MCG,11,4,13,12,1
15,BL,DOC,8,8,12,12,1
16,WC,PER,12,13,12,5,1
17,MEL,DOC,8,10,12,7,1
18,GC,CRR,8,3,11,11,1
19,NM,DOC,9,15,9,7,1
20,HAW,DOC,19,8,14,9,1
21,CAR,DOC,8,6,10,13,1
22,RIC,MAR,,,,,
23,GEE,DOC,,,,,
24,BL,GAB,,,,,
