ROUND,OPP,VENUE,G_F,B_F,G_A,B_A,weight
1,MEL,MCG,9,11,17,13,1
2,STK,DOC,5,11,14,8,1
3,BL,DOC,10,7,7,11,1
4,RIC,MCG,12,17,12,12,1
5,PA,ADE,8,8,10,10,1
6,FRE,PER,17,16,10,9,1
7,HAW,DOC,14,10,9,11,1
8,GWS,MAN,13,8,10,11,1
9,CAR,DOC,11,13,8,11,1
10,ADE,EUR,11,19,5,10,1
11,GC,MAR,11,11,13,6,1
12,GEE,DOC,10,15,15,7,1
13,PA,MAR,13,7,16,11,1
14,NM,DOC,15,15,13,6,1
16,FRE,DOC,16,6,11,7,1
17,COL,DOC,11,11,13,11,1
18,SYD,SCG,11,10,11,12,1
19,ESS,DOC,13,12,7,7,1
20,GWS,EUR,10,13,11,12,1
21,RIC,DOC,19,12,10,11,1
22,HAW,YOR,9,10,9,13,1
23,WC,DOC,12,13,14,8,1
24,GEE,KAR,16,8,11,13,1
